File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::ELIST2_ITERATOR(ELIST2 *list_to_iterate),2,2,2,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::add_after_then_move( ,40,38,24,9,2,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::add_after_stay_put( ,43,41,27,9,2,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::add_before_then_move( ,38,36,23,8,2,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::add_before_stay_put( ,39,37,24,8,2,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::add_list_after(ELIST2 *list_to_add),43,42,29,8,1,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::add_list_before(ELIST2 *list_to_add),40,38,25,8,2,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::extract(),35,29,21,6,3,4,3,33,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::move_to_first(),12,11,7,3,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::move_to_last(),12,11,7,3,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::mark_cycle_pt(),13,12,6,3,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::at_first(),12,10,4,3,1,2,1,10,
